user,followers,Friends,Tweets,Retweets
barbiebiologa,1215.0,397.0,0,1
Cam_Cam_D,116.0,688.0,0,1
joseluislloren8,64.0,322.0,0,1
nyuCIC,4341.0,1810.0,0,1
RunPauRun,1823.0,1447.0,0,1
EANAMaestrazgo,1666.0,1752.0,0,1
SUCAMORA,134.0,190.0,0,1
risaralda_sena,78.0,44.0,0,1
cubacooperavepo,158.0,71.0,0,3
_donesPSC,2400.0,993.0,0,1
Jmgregoriomo,144.0,386.0,0,1
Gustavorami0112,153.0,273.0,0,1
Violet_Ruouiz,3017.0,1386.0,0,10
evavaila2014,144.0,413.0,0,1
SikinRivero,327.0,617.0,0,1
mucobroncol,20.0,272.0,0,1
BrezoSintes,91.0,318.0,0,1
WildGyeInitia,110.0,404.0,0,1
AlessanderFuent,30.0,23.0,0,1
__CarlosHerrera,334.0,322.0,0,1
biapata,38.0,123.0,0,1
margaritasosa4,39.0,384.0,0,1
tena_beatriz,51.0,246.0,0,1
ErikaRM10,35.0,108.0,0,1
YordiRicado,13.0,81.0,0,1
FEIQUE_REACH,1043.0,732.0,0,4
EnergiasECO,2013.0,441.0,0,1
rtorres_javier,603.0,1345.0,0,1
AngelaGarcs1,153.0,186.0,0,1
juanagalvezg,85.0,114.0,0,1
Sustain82109672,33.0,269.0,0,1
JuniorBppp,47.0,48.0,0,1
daetsime,1192.0,168.0,0,2
MartaMuizFerrer,535.0,444.0,0,2
GuanumenSeb,405.0,661.0,0,2
TECHOChile,73961.0,2012.0,0,1
NicoNovillo,699.0,1060.0,0,1
valeriatmc1,9.0,44.0,0,1
agorarsc,12705.0,3061.0,2,4
Davidsargatal,1.0,9.0,0,1
jlnietob,496.0,693.0,0,1
Clau_Villa2,123.0,152.0,0,3
ElChinoNavarro,2364.0,1835.0,0,2
FerTrotz,62.0,70.0,0,1
iRiego,3944.0,1419.0,0,1
miguelcarrenof,119.0,893.0,0,1
EladioMarrero,83.0,93.0,0,1
ElcheCoopera,435.0,196.0,1,1
EmpresasRespRD,381.0,629.0,2,0
inabguatemala,10472.0,801.0,0,1
CSiviele,58.0,98.0,0,2
yuly_saumell,680.0,3589.0,0,1
JuanCazorla,3137.0,2253.0,1,0
odiseo_,1347.0,551.0,0,1
hicpresident,1798.0,1261.0,0,1
karlagonks,207.0,206.0,0,1
Rafael92543331,234.0,193.0,0,2
JCastilloNav,1134.0,1207.0,1,0
Begonasarre,2065.0,1690.0,0,1
VillarrealPaco,3753.0,802.0,0,2
tp_moromoro,98.0,73.0,0,1
CulturaRSC,4976.0,619.0,4,15
gablozano,273.0,729.0,9,0
sustrategies,53.0,176.0,1,0
convivepanama,308.0,40.0,1,0
Barbara19008,821.0,972.0,0,1
mvalerio_gu,16728.0,5634.0,0,1
Monica5201,280.0,1243.0,0,1
Cris_N_82,601.0,584.0,0,1
monzonpedro,1006.0,2063.0,0,4
UNV_ROLAC,307.0,106.0,7,3
Juanmasalesiano,390.0,197.0,0,1
martinezvicent,277.0,928.0,0,2
SchuttEliana,33.0,76.0,0,1
ilvaarias,525.0,423.0,0,2
bd4dnetwork,138.0,6.0,0,5
Ugald_Armando,589.0,282.0,0,1
victoria_zaida,10.0,126.0,0,1
Arturito576,298.0,316.0,0,1
BayonaAracelly,336.0,1874.0,0,1
LaVistadeAlex,171.0,168.0,0,1
Beatrizalai,227.0,434.0,0,1
EmbaMexAle,10177.0,1711.0,0,1
mauestevez16,24.0,218.0,0,1
VLafora,463.0,1004.0,0,1
mariamg2009,1546.0,865.0,0,1
cepi__,117.0,142.0,0,1
ConOtraCLASE,5452.0,5051.0,0,1
kacc77,102.0,72.0,0,1
Infocaller_ES,140.0,887.0,1,0
sonilink,2066.0,1948.0,0,1
fundmamonal,3092.0,938.0,2,0
InvestigandoUV,1018.0,601.0,0,1
JoseMan53092768,45.0,571.0,0,3
nachohouses,400.0,752.0,0,1
apaspinola,259.0,52.0,0,1
SDHuruguay,2404.0,815.0,0,2
Camelhub_SAS,167.0,485.0,1,0
MarvalOriannys,38.0,49.0,0,1
MarcosA93787341,472.0,1249.0,0,2
Lilia_Julieta,488.0,1760.0,0,1
Fundacion_ONCE,55612.0,1127.0,0,2
ilanazuri,305.0,410.0,0,1
Inmujer,16223.0,88.0,0,2
Ma_LuDominguez,139.0,367.0,0,1
m_pascual_m,663.0,5001.0,0,1
rosana_marti,175.0,176.0,0,1
pezestudio,4898.0,3101.0,0,1
JaimeJtorres,65.0,176.0,0,1
miltonaguas,640.0,752.0,0,1
ECordaz,363.0,591.0,0,1
quameorg,952.0,989.0,0,2
Angel_cartagena,346.0,448.0,0,1
mancondado,1389.0,920.0,2,1
Misiowill,220.0,189.0,0,1
ValdiviesoJavi,785.0,1718.0,0,1
nnahajordriguez,208.0,288.0,0,2
cimesalvador,1002.0,2504.0,0,1
vikyvilarino,417.0,251.0,1,2
GloriaAguilar2,198.0,229.0,0,1
jp_palestina,5.0,20.0,0,1
Admon_GobOax,9935.0,242.0,0,1
RIEIOficial,97.0,75.0,2,0
rolo18al,418.0,603.0,0,1
Cotec_Innova,38310.0,1612.0,0,6
DY1410,108.0,182.0,0,1
proturbiomar,1874.0,4371.0,0,1
Lucinthe,1021.0,834.0,1,0
GranmaUjc,310.0,218.0,0,2
Agrobiodiversi2,13.0,92.0,0,1
Sendaizea,1505.0,885.0,0,1
Cachovillarreal,38.0,106.0,0,1
AlexCuba85,155.0,371.0,0,1
InkaMattila,2892.0,1206.0,1,0
tomasito3111,47.0,221.0,0,1
JAMM480,208.0,358.0,0,1
Guiller32230245,8.0,192.0,0,1
merperezmillan,228.0,606.0,2,0
rafasarda10,200.0,26.0,0,1
aleuy24,343.0,536.0,0,1
victoria1569,725.0,1614.0,0,1
lkdalatierrita,40.0,250.0,0,1
gal_Parla,1174.0,880.0,0,1
yudelquisp1,4.0,26.0,0,1
malurubio12,132.0,170.0,0,6
Gastonpedrozo5,32.0,171.0,0,1
VITO2015OK,179.0,71.0,0,1
avcast1,149.0,178.0,0,1
mecuencal,453.0,2444.0,0,2
elenayllon,1239.0,1317.0,0,2
rsudamericana,29177.0,2351.0,0,1
PNUD_ALGenera,6447.0,1494.0,0,2
LermaNatacha,87.0,386.0,0,1
ProPacificoOrg,3029.0,621.0,1,1
bluegrowthvigo,336.0,439.0,0,1
capetillo_elisa,33.0,60.0,0,1
cfibd,895.0,361.0,0,1
deodat_maharaj,1835.0,1963.0,0,1
CEADS_AR,3772.0,759.0,9,1
comunicacioicab,15599.0,1312.0,0,1
HorizontesAbier,380.0,1004.0,0,1
jaimes_roberta,80.0,134.0,0,1
espenovo61,55.0,222.0,0,1
D_MaestroTorres,117.0,40.0,1,0
Carlachi6,45.0,92.0,0,1
hugumat,1252.0,2188.0,0,1
zanaines,3385.0,2812.0,0,2
unescoMOST_LAC,3564.0,4632.0,2,0
s4theplanet,18.0,70.0,0,1
marthabland,136.0,457.0,0,1
Raydelis18,141.0,361.0,0,1
AbogLiuzzi,122.0,116.0,0,1
Rhizophora9,4.0,65.0,0,1
fannymar05,41.0,130.0,0,1
MuroDe,161.0,271.0,0,1
COESPOHIDALGO,1545.0,270.0,1,0
CediaPeru,1513.0,487.0,1,0
RodrigoAssadi,2037.0,736.0,0,1
pedritoortizjr,88845.0,2755.0,0,1
Karikaturas,10.0,92.0,0,2
jmbeas,3811.0,287.0,0,1
casiopea1971,1878.0,2257.0,0,1
Lucy_HdzRuiz,1037.0,1438.0,0,1
Mareydiss,396.0,458.0,0,1
gnoto62,810.0,571.0,0,1
SOLABRIA,3322.0,129.0,0,2
FABIANECOLOGIA,331.0,1012.0,0,8
OITAndina,4722.0,730.0,0,1
AECA_ITV,1288.0,1444.0,1,2
Value4Chain,1571.0,2447.0,0,1
Soledad12349717,46.0,108.0,0,1
emmaaparici,68.0,77.0,0,1
M_Emprendedora,5104.0,568.0,0,4
SaludAmbEscuela,139.0,725.0,0,1
Yazcardenas15,882.0,825.0,0,2
manuelmarrerod,195.0,640.0,0,1
LolaCapba,172.0,334.0,0,1
Omaritocl8,3.0,85.0,0,1
GZilfrid,156.0,826.0,0,1
GraficoNews,633.0,156.0,0,1
Todo_Sanlucar,3297.0,133.0,0,1
usamditang,1.0,17.0,0,1
Romerito080,345.0,315.0,0,1
ClaTobar,315.0,193.0,0,2
ElxMes,84.0,57.0,0,2
MafexSpain,1238.0,688.0,0,1
marianamxe,690.0,1358.0,1,0
ITU_AMS,1266.0,309.0,1,0
nachovia1,221.0,365.0,0,1
rosamelero,2134.0,597.0,0,2
OPurpurea,1792.0,941.0,0,1
constanzasolor3,55.0,94.0,0,1
Subsidio_52_55,604.0,283.0,0,1
PadilladeArriba,69.0,96.0,0,1
SernaHidalgo,735.0,1411.0,0,1
LAQI_quality,990.0,748.0,1,0
bibliotecaaxarq,1006.0,1160.0,0,3
Cristinapor,2872.0,1037.0,0,1
6_maqueda,447.0,1227.0,0,1
BrunoChiica,6447.0,5971.0,0,1
ieslasendagtf,106.0,117.0,9,1
SusanaGarciaM3,172.0,312.0,0,2
Ruben_Castro,937.0,960.0,1,0
Ddcastibanque,6219.0,3530.0,0,2
ori_martinez11,137.0,136.0,0,1
Africanoes1pais,9195.0,1243.0,1,0
XavierMtinezOA,133.0,275.0,0,1
RevistaPauta,4054.0,1124.0,0,1
letazamudio,112.0,296.0,0,1
ApSExtremadura,924.0,2467.0,0,3
GurpeguiA,722.0,865.0,0,1
oscarpavela,5.0,14.0,0,1
Ladecom_us,1575.0,961.0,0,1
paulalcantar,2417.0,999.0,1,0
RosaNidiaVilla3,30.0,451.0,0,1
FAOFDI,3920.0,1262.0,0,1
BierzoAirLimpio,207.0,162.0,0,1
catedralDburgos,3822.0,353.0,0,1
Yola_MartinezL,2744.0,998.0,0,8
SoySamuelN,91.0,374.0,0,1
Oscar_ortega_18,513.0,520.0,0,1
SiempreDivina1,80.0,620.0,0,1
spachim_sa17,138.0,507.0,0,1
almudenaf,261.0,680.0,0,1
MLejtreger,431.0,908.0,0,2
PatValverde,1243.0,819.0,0,1
tmaopiac,15.0,60.0,0,1
ClaudiaCostin,78602.0,4200.0,1,0
CiudadMe,60.0,209.0,0,2
FAbiertas,288.0,605.0,0,9
mecastron,166.0,414.0,0,2
ConcienciaAmbi3,112.0,699.0,0,1
Lost_in_laPalma,6201.0,3106.0,0,4
MoveRSEorg,3343.0,491.0,1,0
Samuelgaarciaa,100.0,163.0,0,1
SalasHenny,176.0,319.0,0,1
mariaelenasanz,1532.0,1500.0,0,1
andresjimenezgu,516.0,849.0,0,1
Te_Roba,598.0,1492.0,0,2
amycosONGD,1051.0,432.0,2,0
Viky_Aquin,351.0,471.0,0,1
FundacionBeQual,2667.0,909.0,14,1
Daniela4Cruz,10.0,20.0,0,2
NAT_FP,707.0,812.0,0,1
doraperu,315.0,136.0,0,2
embacubajapon,2713.0,827.0,0,1
mestraharo,68.0,183.0,0,1
on_deporte,1988.0,794.0,0,2
LuisontheCouch,123.0,328.0,1,0
andresgutileon,682.0,954.0,3,1
lurdesburgos,1192.0,974.0,0,2
ciedur,279.0,280.0,3,0
tomasdelara,2188.0,1027.0,0,2
AUARA_H2O,1983.0,334.0,0,1
SENplatform,248.0,582.0,1,0
neidyclavijo,885.0,588.0,1,1
AndrsSayago4,5.0,29.0,0,1
RoVr_Lu,59.0,567.0,0,1
AndreaIECS,133.0,189.0,0,1
ma_delrefugio,102.0,300.0,0,1
Red_Carolina,114984.0,1491.0,9,4
IBE_UNESCO,5599.0,1001.0,0,1
RamonFVasquez,329.0,432.0,0,1
JuanPab26617317,41.0,286.0,0,1
carolialuma,323.0,422.0,0,1
jotacedelPeru,60.0,170.0,0,1
w_buckley,114.0,254.0,0,1
soyjuanjose56,83.0,391.0,0,1
Orrozco1,17.0,197.0,0,1
ledoleon,2114.0,1319.0,0,1
MultandoEscolta,2085.0,328.0,0,2
castillomontse1,7.0,27.0,0,2
RubiSilll,42.0,44.0,0,1
GERARDOLARAOR,371.0,176.0,0,1
Tashi96428701,52.0,131.0,0,2
WWFpy,12095.0,1977.0,0,1
EmbajadaEspCol,4819.0,630.0,1,0
AlantoshJ,882.0,2164.0,0,1
lorejarena,569.0,2339.0,0,1
carlosmcabo,1188.0,1149.0,2,0
Jose_mpp,244.0,1712.0,0,2
MarianaCaccia,390.0,2549.0,0,1
Karla_Ros24,10.0,3.0,0,1
ITC_ceramica,2793.0,921.0,0,1
DoctorBaylos,3516.0,1040.0,0,1
AlfredoDLaCruz,2445.0,1174.0,0,2
llinaresjoan,3245.0,2179.0,0,1
JuanaLapechuga,131.0,56.0,0,1
JuventudCYL,15886.0,413.0,0,1
vitoeps,2193.0,2096.0,0,1
laulizac2,143.0,350.0,0,3
InmaVelascoJuez,206.0,116.0,0,4
OlivetPol,419.0,963.0,0,1
alcatoli,395.0,515.0,0,1
Cristia16062147,4.0,1.0,0,3
EspacioAF,7292.0,1451.0,2,0
Crisluqe,1228.0,833.0,2,2
JulioCesar_CM,492.0,740.0,1,0
M_LuzOrtega,2314.0,1832.0,0,7
iam_Van3,120.0,210.0,0,1
mariaferquijano,250.0,542.0,0,5
CDSustentable,2729.0,4294.0,0,1
EleComoPuente,128.0,289.0,1,0
claralunis,110.0,166.0,0,1
LLAMUCO,54.0,489.0,0,1
JaimeSilos,2156.0,542.0,0,1
teocla,281.0,1350.0,0,8
ONU_derechos,641401.0,2179.0,0,3
smedina0397,34.0,46.0,0,1
anakariper,400.0,1285.0,0,1
vadebike,1899.0,784.0,0,1
joseluisgcureno,3518.0,2190.0,1,0
juanrocha,1549.0,767.0,0,1
MariaAl_2,174.0,305.0,0,1
MonteiroPesce,480.0,533.0,0,1
ana_antolin,645.0,1326.0,0,3
PamelaObandoB,677.0,1032.0,0,1
coplade_costa,977.0,917.0,0,2
IsraelLpezMarn1,138.0,450.0,0,1
StiVasquez,85.0,53.0,0,1
ngarciacasarejo,509.0,744.0,1,1
aleidagodinez,121.0,194.0,0,1
Vir_VIDAL_ACERO,257.0,603.0,0,3
GTorreblank,1116.0,3154.0,0,1
jdoviedoa,6263.0,274.0,0,14
lacamaradequito,13095.0,3243.0,0,1
PauCabrera_A,69.0,396.0,0,1
blogsostenible,15583.0,2339.0,1,6
InvestigacionUC,2412.0,3923.0,0,1
agustaguilera,279.0,544.0,0,1
Celi42084822,18.0,88.0,0,1
allkindsofkind,341.0,1968.0,0,1
ateneaoficial,65.0,141.0,0,1
Mimosirris,285.0,329.0,0,1
ZoFlor1,160.0,300.0,0,1
cintamoraleda1,17.0,84.0,0,1
Daniel_C41,75.0,113.0,0,1
nicolasAmon,3820.0,1163.0,0,2
choikepurun,622.0,486.0,0,2
GardeJulian,2829.0,3245.0,0,1
misaelhoracio2,128.0,223.0,0,2
XimeNowodworsky,147.0,303.0,0,8
Verenzuela1505,230.0,471.0,0,1
anitamarianunez,285.0,344.0,0,1
Santiag66557651,24.0,19.0,0,2
SmartCity_Net,3760.0,769.0,0,2
AaltoCons,240.0,446.0,0,1
alidagf4,159.0,82.0,0,1
sanidadgob,239528.0,605.0,0,2
Tosgriju,2201.0,718.0,0,1
salas_r4,233.0,330.0,0,1
UTECuy,4484.0,537.0,0,2
feproami,1785.0,2500.0,2,1
belensantacruzd,638.0,1936.0,0,1
eunEsPlata,465.0,527.0,0,1
carrero_2,413.0,683.0,0,1
keyroj,811.0,2194.0,0,1
blanca_gonzaga,3441.0,4930.0,0,1
CaloCalo2017,35.0,244.0,0,1
Ger13Ruiz,706.0,3132.0,0,2
MGascaGomez,830.0,644.0,0,11
Moncadajove,561.0,190.0,0,2
EMPODERA_org,5255.0,1203.0,2,3
alannamor_,940.0,801.0,0,1
Deb_invexCuba,1421.0,644.0,1,1
MartineGayon,551.0,76.0,0,1
BasantaNelimar,128.0,129.0,0,1
Vzqz_alberto,158.0,407.0,0,1
507BackPacker,167.0,235.0,0,1
ximenagalvans1,40.0,620.0,0,2
monitor_2030,22.0,193.0,0,1
Chamulay,120.0,289.0,0,1
ClamVeracruz,293.0,761.0,0,2
martosfre,449.0,296.0,0,1
elinavero,102.0,541.0,0,1
BencomoAle,523.0,828.0,0,3
alesew23,10871.0,12136.0,2,0
CieloConstanza,97.0,381.0,0,1
DazTeran,277.0,340.0,0,1
lucianodiputado,793.0,1608.0,0,1
Fernand43688129,41.0,539.0,0,2
SonYritmo,161.0,501.0,0,2
BanzoDamian,55.0,115.0,0,4
SUEZAmCentral,602.0,492.0,1,0
Alberto_Guijarr,1257.0,1555.0,2,0
Titi_Thompson,613.0,1536.0,1,0
Annaluisacastr,149.0,216.0,0,1
stefysepulveda,748.0,976.0,0,1
ComBoca_,496.0,1135.0,0,3
CientTi,6.0,36.0,2,0
Lourdes65241217,52.0,139.0,0,1
HannoverFernnd,70.0,86.0,0,1
Ferfollos,761.0,1337.0,1,3
LuisgGonzales1,111.0,214.0,0,1
GheraldyR,244.0,235.0,1,1
rrtrigos,78.0,58.0,0,2
HerreroLuz,391.0,620.0,0,2
danielbarril,593.0,1544.0,0,1
Hxldim,27.0,62.0,0,1
mjprados,802.0,1095.0,0,1
Germany7304,50.0,560.0,1,0
320CyM,468.0,1482.0,1,0
SifontesYulia,122.0,199.0,0,1
evamateoasolas,1900.0,2092.0,0,1
Saulo63788035,11.0,22.0,0,1
FreddyGalindo_,613.0,1939.0,0,1
LeyessefC,939.0,991.0,0,1
FTelefonicaMX,21172.0,1454.0,1,0
AlexArevalo15,657.0,2672.0,0,2
NP_Aguirrezabal,314.0,435.0,0,5
94_3fm,292.0,820.0,0,1
Dvmv2,3.0,96.0,0,1
HENRYMABOGADO,863.0,2131.0,0,2
karlagg979,4.0,6.0,0,1
FIUSOCantabria,242.0,389.0,0,1
holincer,94.0,209.0,0,1
ClaudiaPArdilaD,35.0,85.0,0,1
SenenaCorbalan,241.0,184.0,0,1
AIAFcolombia,3839.0,721.0,0,2
OTDChile,16148.0,16941.0,1,1
arovia,731.0,585.0,1,1
JovLideresIB,1282.0,275.0,0,1
XAlberte,4443.0,1431.0,1,0
ahernandezll,163.0,107.0,0,1
EmbaCuba_Haiti,5218.0,5350.0,0,3
Elena_19Abril,1045.0,1112.0,0,2
docuformacion,138.0,610.0,0,1
AbrahamUribe8,90.0,132.0,0,1
diegocobosch,1409.0,561.0,0,1
CarmenA33780200,35.0,86.0,0,1
MiguePereira79,390.0,198.0,0,2
ies_laalbora,127.0,148.0,0,1
JonathanYpez,145.0,172.0,0,1
Fany_revistamyt,20.0,18.0,0,1
vero_mart1,316.0,219.0,0,1
edilmaprada,2358.0,5003.0,0,1
klemengambel,42.0,222.0,0,1
Together_2030,2421.0,482.0,0,1
ResilienceAcad,366.0,378.0,0,1
mabelert,86.0,157.0,0,1
ECO_CIRCULAR,2984.0,764.0,0,3
sangrilla09,726.0,2885.0,0,1
veroramosperez,329.0,66.0,0,1
Shantielsendero,79.0,158.0,0,1
ATORIVERO,3620.0,4833.0,0,3
Patxietxea,87.0,27.0,1,0
Ecoplayero,68.0,249.0,0,1
jorgesolana,1123.0,565.0,1,4
MarianaSaynes,1110.0,524.0,0,1
HdezCarrillo98,14.0,102.0,0,2
manuelgross,11593.0,2046.0,0,1
nramirez,176.0,476.0,0,1
EquoRonda,213.0,489.0,0,2
helenapha,245.0,228.0,0,1
altec_alexa,44.0,171.0,0,1
jaimesfsegundo,18.0,11.0,0,2
DelGobCantabria,837.0,138.0,0,7
AshokaSpain,19190.0,1133.0,2,0
Beizana,631.0,584.0,0,2
MarialEguiguren,202.0,521.0,0,1
OpenDataWatch,9970.0,1059.0,0,1
JoaquinCaudeli,507.0,2774.0,0,1
JoseTruman,14.0,30.0,0,1
clio1968,4687.0,3370.0,0,2
maocmc,146.0,843.0,0,1
DachaAtienza,623.0,659.0,0,4
AlejandroCruzVs,30.0,129.0,0,1
mmugnolo,1419.0,760.0,0,1
SanGregorioNews,665.0,472.0,0,1
SilvanaYazbek,3413.0,3346.0,0,1
AnchetaAna,278.0,274.0,0,1
oteropilar,71.0,432.0,0,1
hispanoeducando,4217.0,4792.0,0,1
JorgeMe03679379,106.0,1060.0,0,1
emaria_rm,114.0,474.0,1,0
Webstranet,846.0,1971.0,0,5
OITnoticias,32604.0,159.0,0,2
jsensio,148.0,659.0,0,2
RULPHI,880.0,1977.0,0,1
iiia_cuba,134.0,251.0,0,1
AngelCheca5,175.0,231.0,0,1
BelnUso,1504.0,1429.0,1,0
VicentaMonge,2857.0,1100.0,0,1
EmilioManuelPe2,47.0,144.0,0,1
TercerSectorCLM,342.0,287.0,0,1
hsjdleon,309.0,41.0,0,1
JulioGuinea,1194.0,1729.0,0,1
CentroCEMEXTEC,657.0,1079.0,2,0
ALMUGOGAR,242.0,223.0,0,8
MasagroHgo,26.0,46.0,0,1
0maRc4,127.0,429.0,0,1
castillo_ana,36.0,236.0,0,1
JuanPaCS86,149.0,737.0,0,2
g_bauwens,165.0,322.0,0,1
JovenAmericas,1929.0,205.0,0,1
jujicosas,3323.0,3303.0,0,2
Daniel18Guerra,683.0,985.0,0,1
Edith_Cardenas3,201.0,256.0,0,1
fesabid,9438.0,2482.0,1,1
daiesco,254.0,464.0,1,0
fraconalv,483.0,248.0,0,1
cristinazaluchi,554.0,817.0,0,1
MariJoV70,207.0,477.0,0,1
MSGalber,1202.0,1675.0,0,1
LealtadChavez4F,2684.0,2747.0,0,1
Javier_luengo,8752.0,1303.0,0,1
IS2030_Chile,100.0,116.0,1,0
ACNURSuramerica,4029.0,379.0,1,0
RenPrezRodrgue1,51.0,64.0,0,1
Sandramore92,112.0,255.0,0,1
CAMYFund,505.0,626.0,1,0
DiegoParedes9_,714.0,611.0,0,4
marthi_hidalgo,397.0,312.0,0,1
AlejandraVlez1,105.0,383.0,0,2
weartopen,69.0,510.0,0,2
jrodriguezarana,1928.0,37.0,0,2
_carozm,89.0,271.0,0,1
yaguarapanama,1985.0,1517.0,0,1
diaz_serantes,16.0,40.0,0,2
narroyo,5741.0,1389.0,0,1
renatohauri,1485.0,2023.0,0,1
anamari22127336,42.0,158.0,0,1
CMPenalba,331.0,370.0,2,0
manenar,315.0,390.0,1,3
JuliaIsabellaP,109.0,179.0,0,1
JuanPena_UCM,9.0,66.0,0,1
eACNUR,173033.0,2289.0,0,1
Chapiescarlata,1199.0,1084.0,0,1
DMESagua_Grande,114.0,320.0,0,2
conchivillamil,653.0,1313.0,0,1
PinoManzano1,36.0,75.0,0,1
FIIAPP,8309.0,2399.0,3,0
AvendanoEileen,55.0,68.0,0,1
pilarblanco,268.0,200.0,0,3
OEA_parlamentos,6032.0,86.0,1,2
AngelCotayna,227.0,527.0,0,1
ANGED_es,4722.0,620.0,1,0
paomerazam,349.0,295.0,0,1
elisacm_18,18.0,70.0,3,2
Patriciamunozal,125.0,657.0,0,1
valentincu,10.0,11.0,0,1
cequisard,69.0,139.0,3,0
ZuarezMarciano,90.0,648.0,0,1
soce_cgce,67.0,158.0,0,3
camiloebernal,737.0,752.0,0,1
MIsabel54,721.0,824.0,0,1
RevistaRetosUps,89.0,593.0,5,0
Agora_Social,387.0,173.0,0,1
ElOjoSostenible,606.0,369.0,0,1
Maleja_BS,159.0,192.0,0,1
revistatdigital,2835.0,3452.0,0,2
amparosolerd,257.0,1461.0,0,2
ByronIgnacioVer,45.0,120.0,0,1
juanjoamate,1727.0,284.0,0,5
BICICHAMBONA,397.0,140.0,0,1
prisserrano1,11.0,12.0,0,2
17ISA17,68.0,65.0,0,1
FUNDAMEDIOS,49752.0,3827.0,1,0
gabriel2016buj,187.0,713.0,0,1
univallemomboy,8666.0,44.0,1,0
arovalino,855.0,207.0,0,1
leguizamonml,473.0,785.0,3,0
rchavarri,1379.0,2259.0,1,0
CooperacionESP,25877.0,2373.0,0,5
imatiasromero,22933.0,1525.0,0,1
Fpinuela,29.0,64.0,0,1
BrenesXXI,633.0,594.0,0,1
marco_euan,11.0,193.0,0,1
Alba_B_Soto,1989.0,363.0,0,2
Moms_66,152.0,323.0,0,1
YpsilomRSE,1312.0,500.0,11,2
pequerizitos,102.0,464.0,0,1
PPCtradeCadiz,6269.0,6859.0,0,1
jonyulin,522.0,1065.0,0,2
Asanzr,2034.0,1143.0,0,1
lgquerol,26.0,121.0,0,6
